sale_month,rep_id,first_name,last_name,email,total_sale,total_commission
2024-11,1,Anthony,Davis,anthony.davis@toyota.com,8793624.75,229835.0
2024-11,2,Edward,Smith,edward.smith@toyota.com,8721864.31,218995.0
2024-11,3,Paul,Jones,paul.jones@toyota.com,7483168.82,184880.0
2024-11,4,Robert,Lopez,robert.lopez@toyota.com,7473215.2299999995,191386.0
2024-11,5,Steven,Wilson,steven.wilson@toyota.com,7814744.92,216161.0
2024-11,6,Brian,Martinez,brian.martinez@toyota.com,8089256.01,189754.0
2024-11,7,Christopher,Jones,christopher.jones@toyota.com,8658437.14,202114.0
2024-11,8,David,Davis,david.davis@toyota.com,8672081.85,222119.0
2024-11,9,Thomas,Smith,thomas.smith@toyota.com,8623533.39,211728.0
2024-11,10,Christopher,Brown,christopher.brown@toyota.com,7822524.3,188086.0
2024-11,11,David,Gonzalez,david.gonzalez@toyota.com,7946648.5,190773.0
2024-11,12,Daniel,Jackson,daniel.jackson@toyota.com,8493429.13,219825.0
2024-11,13,Robert,Hernandez,robert.hernandez@toyota.com,8012200.9799999995,208535.0
2024-11,14,Daniel,Williams,daniel.williams@toyota.com,8268540.28,208778.0
2024-11,15,William,Moore,william.moore@toyota.com,8218385.64,207620.0
2024-11,16,Michael,Martinez,michael.martinez@toyota.com,8161330.01,216682.0
2024-11,17,Charles,Lopez,charles.lopez@toyota.com,8247398.75,200372.0
2024-11,18,Daniel,Martinez,daniel.martinez@toyota.com,8759602.34,220996.0
2024-11,19,Thomas,Wilson,thomas.wilson@toyota.com,8788981.01,224914.0
2024-11,20,Edward,Jones,edward.jones@toyota.com,7849573.71,193408.0
