rep_id,first_name,last_name,email,phone_number,hire_date,region,status
1,Anthony,Davis,anthony.davis@toyota.com,-5390,7/21/22,North,Active
2,Edward,Smith,edward.smith@toyota.com,-10708,12/24/19,North,Active
3,Paul,Jones,paul.jones@toyota.com,-2301,9/6/22,East,Active
4,Robert,Lopez,robert.lopez@toyota.com,-8631,11/21/20,South,Active
5,Steven,Wilson,steven.wilson@toyota.com,-6958,3/17/22,West,Active
6,Brian,Martinez,brian.martinez@toyota.com,-8376,6/25/23,East,Active
7,Christopher,Jones,christopher.jones@toyota.com,-1890,2/28/21,North,Active
8,David,Davis,david.davis@toyota.com,-6153,8/29/21,North,Active
9,Thomas,Smith,thomas.smith@toyota.com,-2623,4/2/22,West,Active
10,Christopher,Brown,christopher.brown@toyota.com,-10635,8/15/20,North,Active
11,David,Gonzalez,david.gonzalez@toyota.com,-3340,11/11/20,North,Active
12,Daniel,Jackson,daniel.jackson@toyota.com,-10733,8/22/22,West,Active
13,Robert,Hernandez,robert.hernandez@toyota.com,-6888,7/26/23,North,Active
14,Daniel,Williams,daniel.williams@toyota.com,-9591,9/5/20,South,Active
15,William,Moore,william.moore@toyota.com,-4974,4/7/22,North,Active
16,Michael,Martinez,michael.martinez@toyota.com,-4289,4/3/22,East,Active
17,Charles,Lopez,charles.lopez@toyota.com,-9619,5/11/20,West,Active
18,Daniel,Martinez,daniel.martinez@toyota.com,-2520,5/6/21,North,Active
19,Thomas,Wilson,thomas.wilson@toyota.com,-4462,9/4/20,East,Active
20,Edward,Jones,edward.jones@toyota.com,-4686,7/9/20,North,Inactive
21,Tom,Kyte,tom.kyte@toyota.com,-10441,7/25/22,Unknown,Inactive
22,Scott,Tiger,scott.tiger@toyota.com,-9330,3/23/22,Unknown,Inactive
